X,Y,OBJECTID_1,OBJECTID,CompanyID,County,FacilityNa,Address,ProductsSe,Employees,YrEst,Latitude,Longitude,ImportKBIF,CompanyNam,Phone,Website,ByProducts,ModDate,Mfg,NAICSCode1,NAICSCode2,NAICSCode3,NAICSCode4,NAICSCode5,NAICSCode6,Main_NAICS,NAICS6,NAICSNatlI,NAICSNat_1,fPotMfgAsp,YrRmvd,ESRI_OID
-9418909.38518529,4717666.68652861,11,11,001t0000003sjJj,Kenton,A.O. Smith Corporation,"8160 Holton Dr, Florence, KY 41042 United States","Porcelain enamel coatings for appliances, water heaters and boilers, metalurgical coatings, custom engineered glasses, welding consumables.",49,1984,38.972028,-84.611498,1418,A.O. Smith Corporation,859-727-3500,www.aospcd.com, ,2022/01/04 00:00:00+00,1,332812,325199,325510, , , ,332812,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",Metal Coating and Nonprecious Engraving,0,0,351
-9386874.84474132,4547831.71977202,12,12,001t0000003snGY,Madison,A & A Express Inc,"100 Industry Dr, Richmond, KY 40475 United States",Trucking,8,1996,37.776003,-84.323727,487223900,A & A Express Inc,859-626-1289, , ,2022/01/04 00:00:00+00,0,484121, , , , , ,484121,484121,"General Freight Trucking, Long-Distance, Truckload","General Freight Trucking, Long-Distance TL",0,0,657
-9546716.65941142,4606896.38198501,13,13,001t0000003slqo,Jefferson,A & L Manufacturing Co Inc,"4219 S Brook Street, Louisville, KY 40214-1815 United States",Miscellaneous and structural metal fabricating including stairs and railings,5,1964,38.194194,-85.75961,2789,A & L Manufacturing Co Inc,502-366-3037, , ,2022/01/04 00:00:00+00,1,332312,332323,332999, , , ,332312,332312,Fabricated Structural Metal Manufacturing,Fabricated Structural Metal Manufacturing,0,0,335
-9526851.02305886,4615510.27958266,14,14,001t0000003skWR,Jefferson,A&R Logistics Inc,"600 North Hurstbourne Parkway, Suite 110, Louisville, KY 40222 United States",Transportation and logistics services provider headquarters,30,2013,38.254983,-85.581154,483613103,"A&R Logistics, Inc.",502-777-8369,www.arlogistics.com, ,2022/01/04 00:00:00+00,0,551114, , , , , ,551114,551114,"Corporate, Subsidiary, and Regional Managing Offices",Managing Offices,0,0,847
-9698467.53881681,4509150.67323904,15,15,001t0000003shVN,McLean,A & S Fabricating Co,"265 US Highway 431 N, Livermore, KY 42352 United States","Job shop specializing in Large, Heavy Custom Metal Fabrications, Complete Machine Shop Service including Large Machining, Contract Industrial Repairs, Machinery Builder, Sandblast, Painting, Assembly services",25,1969,37.500843,-87.122811,1827,A & S Fabricating Co,(270) 278-2371,www.asfabco.com, ,2022/01/04 00:00:00+00,1,332312,332313,333318,332710, , ,332312,332312,Fabricated Structural Metal Manufacturing,Fabricated Structural Metal Manufacturing,0,0,335
-9405537.89931768,4593147.4004603,16,16,001t0000003skJx,Fayette,A & W Restaurants Inc,"1648 McGrathiana Parkway, Lexington, KY 40511 United States",Worldwide headquarters of franchise,28,2012,38.097061,-84.49138,436013107,A & W Restaurants Inc,(859) 219-0019,www.awrestaurants.com, ,2021/10/13 00:00:00+00,0,551114, , , , , ,551114,551114,"Corporate, Subsidiary, and Regional Managing Offices",Managing Offices,0,0,847
-9409580.58724543,4731664.65321882,17,17,001t0000003sm8V,Kenton,A-1 Electric Motor Service Inc,"1461 Dixie Hwy, Park Hills, KY 41011-2816 United States","Electric motor repair & redesign, sales; Pump repair and sales; electric motor drives and controls; power transmission equipment; air moving products.",12,1961,39.069722,-84.527696,4880,A-1 Electric Motor Service Inc,859-291-1351,www.a1electricmotor.com, ,2022/01/12 00:00:00+00,0,423610,811310, , , , ,423610,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant  Wholesalers",Elec. Equip. and Wiring Merchant Wholesalers,0,0,522
-9525622.50046762,4610236.42661338,18,18,001t0000003slVk,Jefferson,A2Z Sprouters Supply Inc dba A2Z Ozone Systems,"1844 Cargo Court, Louisville, KY 40299 United States",Manufactures Ozone Generators,5,2004,38.217771,-85.570118,1001227,A2Z Sprouters Supply Inc dba A2Z Ozone Systems,502-499-4977,www.a2zozone.com, ,2022/03/31 00:00:00+00,1,333318, , , , ,333318,333318,333318,Other Commercial and Service Industry Machinery Manufacturing,Other Commercial and Service Machinery Mfg.,0,0,375
-9417100.66559284,4719224.51444856,19,19,001t0000003skRp,Boone,AAA Cooper Transportation,"7705 Foundation Dr, Florence, KY 41042 United States","Our company provides LTL, Truckload and Dedicated trucking services.",36,0,38.982907,-84.59525,460222600,AAA Cooper Transportation,(859) 727-9333,www.aaacooper.com, ,2022/02/21 00:00:00+00,0,484121, , , , , ,484121,484121,"General Freight Trucking, Long-Distance, Truckload","General Freight Trucking, Long-Distance TL",0,0,657
-9267139.00492865,4483476.8050373,20,20,001t0000003slxk,Perry,AAA Mine Service,"18 Mountain View Dr, Hazard, KY 41701-7211 United States","Machine shop: general machining, surface grinding, arc welding, boring, cutting, lathe, mill work & fabrication",43,1978,37.317648,-83.248122,3390,"AAA Mine Service, Inc.",606-439-3328,www.aaamineservice.com, ,2022/01/12 00:00:00+00,1,811310,333318, , , , ,811310,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Commercial Machinery Repair and Maintenance,0,0,1001
-9549523.13609299,4609903.03805385,21,21,001t0000003sist,Jefferson,AAK USA K1,"2520 7th Street Rd, Louisville, KY 40208-1029 United States",Edible oils & shortening to be incorporated in various food processes.  Oils are also produced for the candle industry.,140,1984,38.215418,-85.784821,3078,"AAK USA K1, LLC",502-636-3712,www.aak.com,"Soap stock, distillates, recovery oils, shelldrain",2021/10/11 00:00:00+00,1,311225, , , , , ,311225,311225,Fats and Oils Refining and Blending,Fats and Oils Refining and Blending,0,0,146
-9253258.69358448,4644917.33477814,22,22,001t0000003skmH,Carter,AA Limestone,"14011 State Highway 9, Grayson, KY 41143 United States",Crushed & dimension limestone,21,0,38.462128,-83.123433,6264,AA Limestone,(606) 474-5836,www.hansonaggregates.com, ,2022/02/21 00:00:00+00,0,212312,212311, , , , ,212312,212312,Crushed and Broken Limestone Mining and Quarrying,Crushed and Broken Limestone Mining,0,0,78
-9509686.77339588,4551667.42189411,23,23,001t0000003smSe,Nelson,AA Machine -Karbec,"321 Glenwood Drive, Bardstown, KY 40004 United States","Industrial machine parts: jigs,fixtures,  gears. Special machines",5,1994,37.803233,-85.426965,8006,"AA Machine, Inc.",502-350-3881,www.aa-machine.com, ,2022/02/23 00:00:00+00,1,332710,332322,332111, , , ,332710,332710,Machine Shops,Machine Shops,0,0,347
-9371189.58505215,4458412.92663766,24,24,001t0000003sjKT,Laurel,ABC Automotive Systems Inc.,"145 Corporate Drive, London, KY 40741 United States","Research, development, design, manufacturing and assembly of plastic automotive parts.",550,2005,37.138374,-84.182824,14296,ABC Automotive Systems Inc.,606-878-2022,www.abctechnologies.com, ,2022/02/23 00:00:00+00,1,336390,541712, , , , ,336390,336390,Other Motor Vehicle Parts Manufacturing,Other Motor Vehicle Parts Manufacturing,0,0,462
-9544613.38859271,4612137.06555013,25,25,001t0000003smSj,Jefferson,Abell Elevator International Inc,"1256 Logan St, Louisville, KY 40204-2484 United States","Elevator, escalator, dumbwaiter sales, installation, service, repair and maintenance",19,1910,38.231184,-85.740716,8013,Abell Elevator International Inc,(502) 634-3350,www.abellelevator.com, ,2022/03/08 00:00:00+00,1,333921,238290,811310, , , ,333921,333921,Elevator and Moving Stairway Manufacturing,Elevator and Moving Stairway Manufacturing,0,0,391
-9553242.54398641,4610436.34909485,26,26,001t0000003skRq,Jefferson,ABF Freight System Inc,"2203 Walrich Ave, Louisville, KY 40211 United States","Trucking, except local",48,0,38.219182,-85.818233,460222601,ABF Freight System Inc,502-778-3381,www.abf.com, ,2022/02/21 00:00:00+00,0,484121,488490, , , , ,484121,484121,"General Freight Trucking, Long-Distance, Truckload","General Freight Trucking, Long-Distance TL",0,0,657
-9406931.84229778,4590642.13063112,27,27,001t0000003skVn,Fayette,ABF Freight System Inc,"1057 Nandino Blvd, Lexington, KY 40511 United States","Trucking, LTL, full truckload, expediting, containers,  and relocations.",14,1984,38.079348,-84.503902,477223901,ABF Freight System Inc,859-254-4046,www.abf.com, ,2022/01/04 00:00:00+00,0,484121, , , , , ,484121,484121,"General Freight Trucking, Long-Distance, Truckload","General Freight Trucking, Long-Distance TL",0,0,657
-9616232.46375323,4440892.90780119,28,28,001t0000003skVp,Warren,ABF Freight System Inc,"534B Plum Springs Loop, Bowling Green, KY 42101 United States",Trucking -  local and distance,6,0,37.012806,-86.384081,477323900,ABF Freight System Inc,270-781-1643,www.abf.com, ,2021/11/30 00:00:00+00,0,484121, , , , , ,484121,484121,"General Freight Trucking, Long-Distance, Truckload","General Freight Trucking, Long-Distance TL",0,0,657
-9421116.851336,4717411.96365109,29,29,001t0000003sjeY,Boone,Abrapower Inc,"7451 Empire Drive, Florence, KY 41042 United States","Nail buffers, sanding sponges; largest manufacturer of nail buffers.",27,2003,38.970249,-84.631328,226807901,Abrapower Inc,859-282-6717,www.abrapowerusa.com, ,2022/01/21 00:00:00+00,1,327910, , , , , ,327910,327910,Abrasive Product Manufacturing,Abrasive Product Mfg,0,0,304
-9384427.04453457,4633180.76428745,30,30,001t0000007Zrsq,Harrison,Abstract Manufacturing,"132 Water Works Avenue, Cynthiana, KY 41031 United States",Machining and welding fabrication,3,2015,38.379526,-84.301738,634009400,Abstract Manufacturing,(859) 588-3544,www.abstractmanufacturing.com, ,2021/10/13 00:00:00+00,1,333517,811310, , , , ,333517,333517,Machine Tool Manufacturing,Machine Tool Manufacturing,0,0,382
-9480959.99822157,4675081.78153484,31,31,001t0000003skjN,Carroll,Abzac Midwest,"904 Hawkins Street, Carrollton, KY 41008 United States",Custom manufactures cardboard cores and cornerboard for packaging.,75,2013,38.673992,-85.168908,570909400,Abzac Midwest,502-354-4411,www.abzac.ca, ,2022/01/04 00:00:00+00,1,322130,493110, , , , ,322130,322130,Paperboard Mills,Paperboard Mills,0,0,229
-9877059.78274546,4446145.37498424,32,32,001t0000003sjFh,McCracken,ACBL,"2000 McCracken Blvd, Paducah, KY 42001-1833 United States","Boat operations service center, training facility (office support staff, purchasing, engineering, training and human resources)",22,2010,37.050473,-88.727132,13318,ACBL,(270) 441-2900,www.bargeacbl.com, ,2021/12/01 00:00:00+00,0,561110, , , , , ,561110,561110,Office Administrative Services,Office Administrative Services,0,0,848
-9545220.74817405,4615640.27403674,33,33,001t0000003sla8,Jefferson,Accentf(x) LLC,"333 East Main, Suite 304, Louisville, KY 40202 United States","Direct marketing, extended warranty plans, headquarters",10,2014,38.2559,-85.746172,480813103,Accentf(x) LLC,502-767-7847,www.accentfx.com, ,2022/01/04 00:00:00+00,0,551114, , , , , ,551114,551114,"Corporate, Subsidiary, and Regional Managing Offices",Managing Offices,0,0,847
-9358967.92565008,4454703.15938247,34,34,001t0000003smBm,Laurel,Accent Marble Inc,"200 Cookie Street, London, KY 40741 United States","Cultured marble bathroom fixtures, vanity tops, bath tubs, shower bases, shower walls; wholesale supplier",12,1979,37.111803,-84.073035,5488,Accent Marble Inc,606-878-6003, , ,2022/01/04 00:00:00+00,1,327991, , , , , ,327991,327991,Cut Stone and Stone Product Manufacturing,Cut Stone and Stone Product Manufacturing,0,0,305
-9402772.05409506,4586066.80288206,35,35,001t0000003slw1,Fayette,Accuprint Inc,"800 Floyd Drive Ste 130, Lexington, KY 40505 United States","General commercial and digital printing
Buckeye Horse feed and Cavalor Horse feed retailer
Promotional Items and Clothing",4,1983,38.046988,-84.466534,3299,Accuprint Inc,859-268-8844,www.accuprint.us, ,2022/02/21 00:00:00+00,1,323111,323120, , , , ,323111,323111,Commercial Printing (except Screen and Books),Commercial Printing (except Screen and Books),0,0,237
-9745845.57565686,4554865.52322293,36,36,001t0000003sjNP,Henderson,Accuride Corp,"2315 Adams Ln, Henderson, KY 42420-4862 United States",Truck wheels & rims,150,1973,37.825929,-87.548415,1547,Accuride Corp,270-826-5000,www.accuridecorp.com, ,2022/05/17 00:00:00+00,1,336211,336390, , , , ,336211,336211,Motor Vehicle Body Manufacturing,Motor Vehicle Body Manufacturing,0,0,451
-9540425.99312134,4606314.81514911,37,37,001t0000003sm8v,Jefferson,Accurite Machine & Manufacturing Inc,"4421 Poplar Level Road, Louisville, KY 40213 United States",Machinery and equipment; fixtures; gauges,23,1992,38.190088,-85.7031,5196,Accurite Machine & Manufacturing Inc,502-238-4808,www.accuritemachine.com,001t0000003sm8vAAA,2022/02/22 00:00:00+00,1,333519,333514, , , , ,333519,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,Rolling Mill and Other Metalworking Machinery Mfg,0,0,383
-9411146.95605174,4590565.48122074,38,38,001t0000003skBS,Fayette,Accuromm U.S.A. Inc,"101 Westhampton Dr, Lexington, KY 40511-1077 United States","Carbide/ PCP cutting tools for automotive and other metal machining  industries. We design, manufacture and service precision custom tooling.",47,1989,38.078806,-84.541767,3954,Accuromm U.S.A. Inc,(859) 254-4334,www.accuromm.com, ,2022/01/04 00:00:00+00,1,333517, , , , , ,333517,333517,Machine Tool Manufacturing,Machine Tool Manufacturing,0,0,382
-9535344.70211982,4605796.72976131,39,39,001t0000006Ng0W,Jefferson,Accuserve Equipment & Supply LLC,"4325 Shepherdsville Rd, Louisville, KY 40218 United States",Distributor of lighting & construction-related material,29,1998,38.18643,-85.657454,627807900,"Accuserve Equipment & Supply, L.L.C.",(502) 961-0096,www.accu-serv.com, ,2022/01/04 00:00:00+00,0,423440, , , , , ,423440,423440,Other Commercial Equipment Merchant Wholesalers,Other Commercial Equip. Merchant Wholesalers,0,0,516
-9549872.456859,4612076.55337832,40,40,001t0000003skT7,Jefferson,Accu-Tec Inc,"1439 Dixie Highway, Louisville, KY 40210 United States",Contract manufacturing and packaging company;  also provide third party logistics and warehousing services.,100,1988,38.230757,-85.787959,4632,Accu-Tec Inc,502-339-7511,www.accu-tec.com, ,2022/02/22 00:00:00+00,0,561910,493110,541614, , , ,561910,561910,Packaging and Labeling Services,Packaging and Labeling Services,0,0,878
-9545996.19945376,4607252.05214618,41,41,001t0000003shWA,Jefferson,A C Krebs Co Inc,"4000 Crittenden Dr, Louisville, KY 40209-1128 United States","Concrete block & stepping stones, split face block, decorative block, retaining wall, precast products.  Brick mortar, fireplace products, wire, masonry chemicals, precast steps",8,1941,38.196705,-85.753138,1986,A C Krebs Co Inc,502-367-6431,WWW.ackrebs.com, ,2021/11/11 00:00:00+00,1,327331,327390, , , , ,327331,327331,Concrete Block and Brick Manufacturing,Concrete Block and Brick Manufacturing,0,0,299
-9360778.53633017,4428426.34858296,42,42,001t0000003sliU,Whitley,Acme Block Co Inc,"2421 S Main St, Corbin, KY 40701-2041 United States",Concrete blocks & products,2,1955,36.92333,-84.0893,1267,Acme Block Co Inc,606-528-4808,www.acmeblockandbrick.com, ,2022/01/04 00:00:00+00,1,327331,327390, , , , ,327331,327331,Concrete Block and Brick Manufacturing,Concrete Block and Brick Manufacturing,0,0,299
-9863856.84237535,4451192.12068652,43,43,001t0000003slMc,McCracken,Acoustic Design Inc,"1003 Madison St, Paducah, KY 42001 United States",Imports and resale as Exports,11,1981,37.086647,-88.608528,13016,Acoustic Design Inc,270-444-0491, ,Parts for Loudspeakers,2021/11/11 00:00:00+00,1,334310, , , , , ,334310,334310,Audio and Video Equipment Manufacturing,Audio and Video Equipment Manufacturing,0,0,409
-9409656.38918685,4617575.80667572,44,44,001t0000003snGc,Scott,Action Equipment Solutions Inc,"109 Demand Court, Georgetown, KY 40324 United States","Mechanical and Electrical Engineering and Design, Factory Automation Solutions, Turn-key Machine Builds, Conveyors and Material Handling Equipment, CNC Machining and Fabrication, Waterjet Machining, 3D Printing, Control Panels and PLC Programming",25,2007,38.269552,-84.528377,487723901,"Action Equipment Solutions, Inc.",502-863-2999,www.aesi-ky.com, ,2021/11/11 00:00:00+00,1,332710,333922,333992,334513,335999, ,332710,332710,Machine Shops,Machine Shops,0,0,347
-9402323.44525293,4738185.6565645,45,45,001t0000003skKO,Campbell,Active Radiator,"1231 4th Ave, Dayton, KY 41074-1230 United States",Truck and industrial radiators,15,1947,39.115187,-84.462504,4403,Active Radiator,859-581-7500,www.activeradiator.com, ,2022/01/04 00:00:00+00,1,336390, , , , , ,336390,336390,Other Motor Vehicle Parts Manufacturing,Other Motor Vehicle Parts Manufacturing,0,0,462
-9551476.79354928,4607354.18001147,46,46,001t0000003slqm,Jefferson,A C Tool & Machine Co,"3711 Nobel Court, Louisville, KY 40216-1999 United States","Machine shop: general & CNC machining, mill & lathe work, arc & heliarc welding, drilling, boring & cutting, design and fabricating custom food equipment",11,1967,38.197426,-85.802371,2787,A C Tool & Machine Co,502-447-5505,www.actoolandmachine.com, ,2022/02/22 00:00:00+00,1,332710,333993,333241,811310, , ,332710,332710,Machine Shops,Machine Shops,0,0,347
-9810890.23421338,4448011.78287185,47,47,001t0000003sn8x,Lyon,Acuren Inspection Inc.,"110 Cedar Street, Kuttawa, KY 42055 United States",Nondestructive examinations,21,1999,37.063853,-88.132721,265607902,Technical Welding Inspection Inc,270-388-4004,www.techweldinspect.com, ,2021/12/09 00:00:00+00,0,541380, , , , , ,541380,541380,Testing Laboratories,Testing Laboratories,0,0,812
-9495428.96340479,4455789.79719173,48,48,001t0000003sm2L,Adair,Adair Progress Inc,"98 Grant Ln, Columbia, KY 42728-2233 United States",Newspaper publishing,12,1987,37.119587,-85.298885,4232,Adair Progress Inc,270-384-6471,www.adairprogress.com, ,2022/01/04 00:00:00+00,0,511110, , , , , ,511110,511110,Newspaper Publishers,Newspaper Publishers,1,0,700
-9525842.13386155,4609858.26757406,49,49,001t0000003sm3b,Jefferson,Adam Matthews Baking Co LLC,"2104 Plantside Dr, Louisville, KY 40299-1924 United States","Cheesecakes, Kentucky Woods Bourbon Barrel Cake",21,1983,38.215102,-85.572091,4349,Adam Matthews Inc,502-499-2253,www.adammatthews.com, ,2021/11/11 00:00:00+00,1,311812,551114, , , , ,311812,311812,Commercial Bakeries,Commercial Bakeries,0,0,169
-9555654.50012525,4541373.64188929,50,50,001t0000003skTb,Hardin,Adams Magnetic Products Co,"2600 RING ROAD SUITE 105B, Elizabethtown, KY 42701-1162 United States",SALES AND SUPPORT OFFICE ONLY,3,2005,37.730134,-85.8399,4668,Adams Magnetic Products Co,(630) 617-8880,www.adamsmagnetic.com, ,2022/01/04 00:00:00+00,1,332999,333515, , , , ,332999,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Miscellaneous Fabricated Metal Product Mfg.,0,0,362
-9406247.5611754,4589789.68805931,51,51,001t0000003sm2T,Fayette,Adcolor Inc,"620 Adcolor Drive, Lexington, KY 40511-1844 United States","Banners, signs, large format graphics, vehicle graphics, fleet graphics, digital printing, screen printing, oem printed parts, exhibit graphics, yard signs, field signs, wall graphics, window graphics, floor graphics Indoor décor",39,1990,38.07332,-84.497755,4249,Adcolor Inc,859-253-1046,www.adcolorinc.com, ,2022/02/21 00:00:00+00,1,323113,323111,339999,541430, , ,323113,323113,Commercial Screen Printing,Commercial Screen Printing,0,0,238
-9538584.76802022,4604914.99580859,52,52,001t0000003skny,Jefferson,A D I,"3908 Produce Road, Louisville, KY 40218 United States",Distribute security systems. Low voltage equipment,51,1997,38.180204,-85.68656,8028,A D I,502-968-7000,www.adiglobal.com/us, ,2022/02/23 00:00:00+00,0,493110, , , , , ,493110,493110,General Warehousing and Storage,General Warehousing and Storage,0,0,696
-9369517.0158213,4579809.54417022,53,53,001t0000003sirs,Clark,Adient,"280 Mutual Ave, Winchester, KY 40391-1536 United States",Automotive seating service center,24,1997,38.002709,-84.167799,301,Johnson Controls Inc,859-737-5000,www.adient.com, ,2021/09/20 00:00:00+00,1,336360,493110, , , , ,336360,336360,Motor Vehicle Seating and Interior Trim Manufacturing,Motor Vehicle Seating and Interior Trim Mfg.,0,0,460
-9411125.24969568,4607963.8622313,54,54,001t0000003skUa,Scott,Adient US LLC,"824 Lemons Mill Rd, Georgetown, KY 40324-9302 United States",Automotive seats and interior components. Foam pads for seating utilized within the automotive industry.,739,1993,38.20173,-84.541572,4711,Adient US LLC,502-863-0400,www.Adient.com, ,2022/01/04 00:00:00+00,1,336360, , , , , ,336360,336360,Motor Vehicle Seating and Interior Trim Manufacturing,Motor Vehicle Seating and Interior Trim Mfg.,0,0,460
-9549115.48411455,4611962.33284031,55,55,001t0000003sgec,Jefferson,Adkins Export Packing & Machinery Movers,"1424 S 15th St, Louisville, KY 40210 United States","Wooden boxes & skids, packing and crating service, packaging, machinery moving, hauling",17,1968,38.229951,-85.781159,1737,Adkins Export Packing & Machinery Movers,502-583-5551,www.adkinsinc.com, ,2022/02/22 00:00:00+00,1,551114,488991,561910,321920, , ,551114,551114,"Corporate, Subsidiary, and Regional Managing Offices",Managing Offices,0,0,847
-9540493.23004754,4606393.84737055,56,56,001t0000003sixg,Jefferson,ADL Dental Laboratory Inc,"4411 Poplar Level Rd, Louisville, KY 40213-1952 United States","Dental prosthetics, crowns & dentures",25,1979,38.190646,-85.703704,3535,ADL Dental Laboratory Inc,502-451-2200,www.adldental.com, ,2021/11/11 00:00:00+00,1,339114, , , , , ,339114,339114,Dental Equipment and Supplies Manufacturing,Dental Equipment and Supplies Manufacturing,0,0,489
-9522653.94271807,4610736.74022719,57,57,001t0000003skUt,Jefferson,ADP Inc,"11405 Bluegrass Pkwy, Louisville, KY 40299 United States","Call center, headquarters. Retirment benefits, payroll, insurance servce, inside sales",1000,0,38.221302,-85.543451,473,ADP Inc,502-267-4900,www.welshcarson.com, ,2022/01/04 00:00:00+00,0,561422,551114,425110, , , ,561422,561422,Telemarketing Bureaus and Other Contact Centers,Telemarketing and Other Contact Centers,0,0,856
-9538672.93378864,4616162.96625766,58,58,001t0000003slTV,Jefferson,Advanced Business Solutions,"2908 Brownsboro Road
Suite 206, Louisville, KY 40206 United States",Managed computer services,110,1995,38.259587,-85.687352,1000317,"Advanced Business Solutions, Inc.",(502) 896-2557,www.advancedbusinesssolutions.com, ,2021/11/11 00:00:00+00,0,541511, , , , , ,541511,541511,Custom Computer Programming Services,Custom Computer Programming Services,0,0,817
